"Run_ID","US_ID","Condicao","Repeticao","Ordem","Data_hora","Arquivo_saida","Status","Erro"
"US08_CT_R5","US08","CT","5","36","2026-07-13T16:40:57","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US08_CT_R5\clarification-full.md","Valida",""
"US19_CD_R4","US19","CD","4","37","2026-07-13T16:41:26","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US19_CD_R4\clarification-full.md","Valida",""
"US02_CT_R5","US02","CT","5","38","2026-07-13T16:41:53","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US02_CT_R5\clarification-full.md","Valida",""
"US22_CD_R4","US22","CD","4","39","2026-07-13T16:42:27","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US22_CD_R4\clarification-full.md","Valida",""
"US19_CT_R1","US19","CT","1","40","2026-07-13T16:42:53","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US19_CT_R1\clarification-full.md","Valida",""
"US08_CD_R5","US08","CD","5","41","2026-07-13T16:43:23","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US08_CD_R5\clarification-full.md","Valida",""
"US22_CT_R1","US22","CT","1","42","2026-07-13T16:43:46","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US22_CT_R1\clarification-full.md","Valida",""
"US19_CL_R4","US19","CL","4","43","2026-07-13T16:44:12","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US19_CL_R4\clarification-full.md","Valida",""
"US08_C0_R2","US08","C0","2","44","2026-07-13T16:44:39","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US08_C0_R2\clarification-full.md","Valida",""
"US22_CS_R5","US22","CS","5","45","2026-07-13T16:45:05","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US22_CS_R5\clarification-full.md","Valida",""
"US22_CL_R5","US22","CL","5","46","2026-07-13T16:45:42","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US22_CL_R5\clarification-full.md","Valida",""
"US02_CL_R2","US02","CL","2","47","2026-07-13T16:46:04","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US02_CL_R2\clarification-full.md","Valida",""
"US08_C0_R5","US08","C0","5","48","2026-07-13T16:46:36","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US08_C0_R5\clarification-full.md","Valida",""
"US19_CL_R5","US19","CL","5","49","2026-07-13T16:47:02","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US19_CL_R5\clarification-full.md","Valida",""
"US22_CS_R2","US22","CS","2","50","2026-07-13T16:47:33","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US22_CS_R2\clarification-full.md","Valida",""
"US19_CO_R4","US19","CO","4","51","2026-07-13T16:47:59","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US19_CO_R4\clarification-full.md","Valida",""
"US08_CS_R1","US08","CS","1","52","2026-07-13T16:48:21","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US08_CS_R1\clarification-full.md","Valida",""
"US19_CD_R2","US19","CD","2","53","2026-07-13T16:48:42","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US19_CD_R2\clarification-full.md","Valida",""
"US08_CS_R4","US08","CS","4","54","2026-07-13T16:49:08","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US08_CS_R4\clarification-full.md","Valida",""
"US02_CO_R2","US02","CO","2","55","2026-07-13T16:49:34","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US02_CO_R2\clarification-full.md","Valida",""
"US08_CL_R2","US08","CL","2","56","2026-07-13T16:49:58","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US08_CL_R2\clarification-full.md","Valida",""
"US22_CD_R1","US22","CD","1","57","2026-07-13T16:50:24","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US22_CD_R1\clarification-full.md","Valida",""
"US22_C0_R5","US22","C0","5","58","2026-07-13T16:50:52","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US22_C0_R5\clarification-full.md","Valida",""
"US22_CO_R5","US22","CO","5","59","2026-07-13T16:51:13","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US22_CO_R5\clarification-full.md","Valida",""
"US02_CT_R4","US02","CT","4","60","2026-07-13T16:51:41","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US02_CT_R4\clarification-full.md","Valida",""
"US22_CD_R3","US22","CD","3","61","2026-07-13T16:52:10","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US22_CD_R3\clarification-full.md","Valida",""
"US08_C0_R1","US08","C0","1","62","2026-07-13T16:52:34","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US08_C0_R1\clarification-full.md","Valida",""
"US02_CS_R2","US02","CS","2","63","2026-07-13T16:52:53","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US02_CS_R2\clarification-full.md","Valida",""
"US22_CL_R1","US22","CL","1","64","2026-07-13T16:53:20","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US22_CL_R1\clarification-full.md","Valida",""
"US22_CL_R4","US22","CL","4","65","2026-07-13T16:53:43","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US22_CL_R4\clarification-full.md","Valida",""
"US08_C0_R4","US08","C0","4","66","2026-07-13T16:54:08","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US08_C0_R4\clarification-full.md","Valida",""
"US19_CT_R4","US19","CT","4","67","2026-07-13T16:54:34","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US19_CT_R4\clarification-full.md","Valida",""
"US19_CL_R2","US19","CL","2","68","2026-07-13T16:54:59","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US19_CL_R2\clarification-full.md","Valida",""
"US02_C0_R2","US02","C0","2","69","2026-07-13T16:55:26","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US02_C0_R2\clarification-full.md","Valida",""
"US02_CS_R1","US02","CS","1","70","2026-07-13T16:55:53","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US02_CS_R1\clarification-full.md","Valida",""
"US22_CT_R3","US22","CT","3","71","2026-07-13T16:56:21","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US22_CT_R3\clarification-full.md","Valida",""
"US08_CL_R1","US08","CL","1","72","2026-07-13T16:56:47","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US08_CL_R1\clarification-full.md","Valida",""
"US02_CS_R3","US02","CS","3","73","2026-07-13T16:57:14","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US02_CS_R3\clarification-full.md","Valida",""
"US08_CT_R4","US08","CT","4","74","2026-07-13T16:57:39","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US08_CT_R4\clarification-full.md","Valida",""
"US08_CL_R3","US08","CL","3","75","2026-07-13T16:58:05","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US08_CL_R3\clarification-full.md","Valida",""
"US08_CT_R1","US08","CT","1","76","2026-07-13T16:58:33","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US08_CT_R1\clarification-full.md","Valida",""
"US02_CL_R3","US02","CL","3","77","2026-07-13T16:59:30","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US02_CL_R3\clarification-full.md","Valida",""
"US22_CS_R1","US22","CS","1","78","2026-07-13T16:59:53","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US22_CS_R1\clarification-full.md","Valida",""
"US22_CS_R4","US22","CS","4","79","2026-07-13T17:00:22","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US22_CS_R4\clarification-full.md","Valida",""
"US19_CO_R5","US19","CO","5","80","2026-07-13T17:00:52","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US19_CO_R5\clarification-full.md","Valida",""
"US19_CO_R1","US19","CO","1","81","2026-07-13T17:01:20","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US19_CO_R1\clarification-full.md","Valida",""
"US08_CO_R5","US08","CO","5","82","2026-07-13T17:01:48","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US08_CO_R5\clarification-full.md","Valida",""
"US22_CL_R3","US22","CL","3","83","2026-07-13T17:02:13","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US22_CL_R3\clarification-full.md","Valida",""
"US02_CL_R4","US02","CL","4","84","2026-07-13T17:02:39","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US02_CL_R4\clarification-full.md","Valida",""
"US02_CO_R3","US02","CO","3","85","2026-07-13T17:03:04","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US02_CO_R3\clarification-full.md","Valida",""
"US02_CS_R5","US02","CS","5","86","2026-07-13T17:03:24","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US02_CS_R5\clarification-full.md","Valida",""
"US19_CL_R1","US19","CL","1","87","2026-07-13T17:03:55","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US19_CL_R1\clarification-full.md","Valida",""
"US22_CO_R2","US22","CO","2","88","2026-07-13T17:04:16","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US22_CO_R2\clarification-full.md","Valida",""
"US22_C0_R1","US22","C0","1","89","2026-07-13T17:04:45","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US22_C0_R1\clarification-full.md","Valida",""
"US22_CT_R4","US22","CT","4","90","2026-07-13T17:05:15","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US22_CT_R4\clarification-full.md","Valida",""
"US02_CO_R1","US02","CO","1","91","2026-07-13T17:05:43","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US02_CO_R1\clarification-full.md","Valida",""
"US22_CT_R2","US22","CT","2","92","2026-07-13T17:06:10","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US22_CT_R2\clarification-full.md","Valida",""
"US22_CO_R3","US22","CO","3","93","2026-07-13T17:06:34","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US22_CO_R3\clarification-full.md","Valida",""
"US08_CL_R5","US08","CL","5","94","2026-07-13T17:07:01","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US08_CL_R5\clarification-full.md","Valida",""
"US19_C0_R4","US19","C0","4","95","2026-07-13T17:07:21","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US19_C0_R4\clarification-full.md","Valida",""
"US08_CO_R3","US08","CO","3","96","2026-07-13T17:07:48","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US08_CO_R3\clarification-full.md","Valida",""
"US19_CT_R5","US19","CT","5","97","2026-07-13T17:08:18","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US19_CT_R5\clarification-full.md","Valida",""
