"Run_ID","Output_Exists","Output_Size_Bytes","Output_Path"
"US22_CL_R2","True","568","runs/US22_CL_R2/output.md"
"US22_CL_R3","True","830","runs/US22_CL_R3/output.md"
"US22_CL_R4","True","604","runs/US22_CL_R4/output.md"
"US22_CL_R5","True","718","runs/US22_CL_R5/output.md"
"US22_CO_R1","True","782","runs/US22_CO_R1/output.md"
"US22_CO_R2","True","617","runs/US22_CO_R2/output.md"
"US22_CO_R3","True","655","runs/US22_CO_R3/output.md"
"US22_CO_R4","True","722","runs/US22_CO_R4/output.md"
"US22_CO_R5","True","502","runs/US22_CO_R5/output.md"
"US22_CS_R1","True","745","runs/US22_CS_R1/output.md"
"US22_CS_R2","True","677","runs/US22_CS_R2/output.md"
"US22_CS_R3","True","587","runs/US22_CS_R3/output.md"
"US22_CS_R4","True","699","runs/US22_CS_R4/output.md"
"US22_CS_R5","True","867","runs/US22_CS_R5/output.md"
"US22_CT_R1","True","742","runs/US22_CT_R1/output.md"
"US22_CT_R2","True","857","runs/US22_CT_R2/output.md"
"US22_CT_R3","True","1091","runs/US22_CT_R3/output.md"
"US22_CT_R4","True","803","runs/US22_CT_R4/output.md"
"US22_CT_R5","True","970","runs/US22_CT_R5/output.md"
