Condition,n,mean,median,std,min,max,ci95_low,ci95_high
C0,20,2.9,3.0,0.7880689256524123,2,4,2.55,3.25
CL,20,2.1,2.0,1.4832396974191326,0,4,1.45,2.75
CO,20,0.65,0.5,0.7451598203705947,0,2,0.35,0.9512499999999817
CD,20,1.75,1.5,1.292692009559488,0,4,1.2,2.3
CS,20,1.7,1.0,1.4545753585442767,0,4,1.1,2.35
CT,20,0.65,0.0,1.0894228312566052,0,3,0.2,1.15
